person_id,department_id,role,included,legacy_label,source_url,verified_at
person-rounce-757b60af,civil,faculty,true,Rounce,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-sujiang-8d09c821,civil,faculty,true,Su Jiang,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-tang-cc63d18f,civil,faculty,true,Tang,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-wang-2051cd94,civil,faculty,true,Wang,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17
person-apierce-b2c0d728,cmu-africa,former,false,APierce,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-bauer-8e3d1320,cmu-africa,former,false,Bauer,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-bezy-f47abd0b,cmu-africa,former,false,Bezy,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-biyabani-0e26ad2b,cmu-africa,former,false,Biyabani,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-brown-ad3a67f7,cmu-africa,faculty,true,Brown,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-busogi-ecf63734,cmu-africa,teaching,true,Busogi,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-desantis-70c1be11,cmu-africa,former,false,DeSantis,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-gueye-49522a23,cmu-africa,former,false,Gueye,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-hpierce-4a52bd4a,cmu-africa,former,false,HPierce,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-ismailadabo-7d114005,cmu-africa,faculty,true,Ismaila Dabo,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-kairu-14ca5b2b,cmu-africa,former,false,Kairu,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-lee-6fb6b6ce,cmu-africa,former,false,Lee,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-luhanga-fe2b0f83,cmu-africa,faculty,true,Luhanga,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-mcsharry-6754faff,cmu-africa,former,false,McSharry,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-mugume-30be9721,cmu-africa,teaching,true,Mugume,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-mukamakuza-cdc4d4f2,cmu-africa,teaching,true,Mukamakuza,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-nathanwilliams-c39ff2c6,cmu-africa,teaching,true,Nathan Williams,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-ndashimye-708e8602,cmu-africa,teaching,true,Ndashimye,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-ndibwile-7c880838,cmu-africa,teaching,true,Ndibwile,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-niyizamwiyitira-a5bb0841,cmu-africa,former,false,Niyizamwiyitira,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-okeyo-52c5642d,cmu-africa,teaching,true,Okeyo,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-perkins-d0de49ef,cmu-africa,former,false,Perkins,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-prasenjitmitra-4043ce5d,cmu-africa,faculty,true,Prasenjit Mitra,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-racz-571e1ce0,cmu-africa,former,false,Racz,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-ramakrishnan-66c33015,cmu-africa,former,false,Ramakrishnan,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-rawn-8123da6a,cmu-africa,teaching,true,Rawn,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-stewartisaacs-9942cf07,cmu-africa,faculty,true,Stewart Isaacs,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-thompson-1b8a376e,cmu-africa,former,false,Thompson,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-thornburg-692fdbef,cmu-africa,teaching,true,Thornburg,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-toerien-5ee4e414,cmu-africa,former,false,Toerien,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-tucker-dc4f5923,cmu-africa,former,false,Tucker,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-umuhoza-7a04ba41,cmu-africa,teaching,true,Umuhoza,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-vernon-cb39dcf1,cmu-africa,former,false,Vernon,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-wiecha-63b6a98d,cmu-africa,former,false,Wiecha,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17
person-anglin-a8736028,cmu-silicon-valley,former,false,Anglin,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-da-silva-sousa-4b72157b,cmu-silicon-valley,teaching,true,daSilvaSousa,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-dai-db83fd8d,cmu-silicon-valley,adjunct,false,Dai,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-erdogmus-94eea046,cmu-silicon-valley,teaching,true,Erdogmus,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-evans-924d128f,cmu-silicon-valley,former,false,Evans,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-fang-32e23aaf,cmu-silicon-valley,faculty,true,Fang,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-jacobson-b7f331d0,cmu-silicon-valley,teaching,true,Jacobson,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-kirmayer-39a93bbe,cmu-silicon-valley,adjunct,false,Kirmayer,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-kuo-dde7bf19,cmu-silicon-valley,teaching,true,Kuo,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-mercier-231c4789,cmu-silicon-valley,former,false,Mercier,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-miller-f75a088e,cmu-silicon-valley,adjunct,false,Miller,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-mohan-3ebcee91,cmu-silicon-valley,former,false,Mohan,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-ott-7365d9e5,cmu-silicon-valley,adjunct,false,Ott,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-peraire-bcbd50cf,cmu-silicon-valley,teaching,true,Peraire,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-root-d979b29e,cmu-silicon-valley,teaching,true,Root,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-shaikh-2e0f9c29,cmu-silicon-valley,teaching,true,Shaikh,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-shen-a3919bd2,cmu-silicon-valley,faculty,true,Shen,https://www.sv.cmu.edu/directory/index.html,2026-07-17
